ADEP,ADES,Date,Arrivals,P15,P85,(P85-P15)/2
SBCF,SBSP,2020-02,539,71.25681818181819,83.77272727272728,"6,3"
SBRJ,SBSP,2020-12,539,54.699999999999996,64.71578947368421,"5,0"
SBSP,SBPA,2019-09,539,93.46904761904761,105.46190476190475,"6,0"
SBCF,SBSP,2019-08,536,73.1340909090909,81.77727272727272,"4,3"
SBGR,SBFZ,2019-01,536,196.76,210.70999999999998,"7,0"
SBPA,SBGR,2019-05,536,96.05714285714286,106.76190476190476,"5,4"
SBSP,SBBR,2019-02,535,97.92727272727271,112.94999999999999,"7,5"
SBCF,SBSP,2019-04,533,72.14772727272727,82.07727272727273,"5,0"
SBPA,SBSP,2019-08,533,86.93809523809524,96.01666666666665,"4,5"
SBSP,SBPA,2019-08,533,91.95476190476191,102.81190476190477,"5,4"
SBGR,SBPA,2019-03,531,97.14523809523808,108.61666666666667,"5,7"
SBSP,SBPA,2019-11,531,90.98,103.4075,"6,2"
SBGR,SBSV,2019-11,529,129.8578947368421,141.86052631578946,"6,0"
SBGR,SBCT,2019-01,528,56.68684210526315,68.58684210526316,"6,0"
SBGR,SBPA,2019-02,528,97.45909090909093,108.02272727272725,"5,3"
SBGR,SBRF,2020-01,527,175.49473684210525,188.58157894736843,"6,5"
SBPA,SBSP,2019-10,527,87.7675,96.49499999999999,"4,4"
SBSP,SBCF,2019-01,527,68.03095238095236,79.82857142857145,"5,9"
SBSP,SBPA,2019-10,527,91.3,102.7875,"5,7"
SBCT,SBSP,2019-05,526,52.599999999999994,64.93333333333332,"6,2"
SBSV,SBGR,2019-11,526,140.9973684210526,156.02105263157898,"7,5"
SBPA,SBGR,2019-02,525,99.42857142857143,113.69999999999999,"7,1"
SBSP,SBCF,2019-04,524,66.58863636363637,77.52954545454547,"5,5"
SBSP,SBCT,2019-05,524,52.330952380952375,64.22857142857143,"5,9"
SBPA,SBSP,2019-05,523,86.14285714285715,98.27142857142859,"6,1"
SBSP,SBBR,2022-05,523,97.22894736842107,111.32368421052632,"7,0"
SBGR,SBCT,2020-01,521,56.165789473684214,65.78684210526316,"4,8"
SBPA,SBSP,2019-09,521,84.6325,97.19000000000001,"6,3"
SBGR,SBPA,2019-05,520,99.08571428571429,110.78809523809522,"5,9"
SBRF,SBGR,2020-01,520,187.4421052631579,202.5921052631579,"7,6"
SBGR,SBCT,2019-08,517,55.567499999999995,63.9625,"4,2"
SBSP,SBPA,2019-04,517,92.28095238095239,104.65714285714287,"6,2"
SBPA,SBSP,2019-04,515,86.35000000000001,99.23571428571428,"6,4"
SBCT,SBGR,2019-01,514,65.97368421052632,81.95263157894738,"8,0"
SBSP,SBCF,2022-05,513,66.22894736842106,77.25526315789475,"5,5"
SBSP,SBPA,2019-05,513,92.7225,106.1875,"6,7"
SBSV,SBGR,2019-10,513,142.98684210526315,154.25263157894736,"5,6"
SBRJ,SBBR,2019-12,512,100.24000000000002,109.96499999999999,"4,9"
SBBR,SBSP,2019-02,511,98.23571428571425,112.05714285714286,"6,9"
SBCT,SBGR,2020-01,509,64.47894736842106,76.2421052631579,"5,9"
SBFL,SBGR,2019-01,508,71.56666666666666,86.57777777777778,"7,5"
SBGR,SBFL,2019-01,508,70.01944444444445,82.14166666666667,"6,1"
SBCF,SBSP,2022-05,507,73.83947368421053,87.79210526315791,"7,0"
SBPA,SBSP,2019-11,507,85.70789473684209,97.7578947368421,"6,0"
SBSP,SBRJ,2020-11,507,49.428947368421056,58.35789473684209,"4,5"
SBPA,SBGR,2021-11,506,96.06842105263159,110.48684210526316,"7,2"
SBBR,SBRJ,2019-12,505,97.81250000000001,109.84500000000003,"6,0"
SBCT,SBGR,2019-08,505,62.64000000000001,71.3875,"4,4"
SBGR,SBCF,2019-01,505,65.88333333333334,78.06111111111112,"6,1"
SBBR,SBSP,2022-05,503,96.72222222222223,110.09444444444445,"6,7"
SBGR,SBRF,2019-12,501,176.125,191.21388888888887,"7,5"
SBCF,SBSP,2019-01,500,71.2625,84,"6,4"
SBSP,SBCT,2019-09,498,51.76500000000001,62.575,"5,4"
SBSP,SBPA,2019-01,497,88.39473684210525,102.7,"7,2"
SBCT,SBSP,2019-08,495,53.9525,63.50499999999998,"4,8"
SBPA,SBSP,2022-05,495,85.74444444444444,96.61944444444444,"5,4"
SBSP,SBPA,2022-05,495,92.83888888888889,105.52222222222221,"6,3"
SBGR,SBCF,2019-09,494,62.16578947368421,73.0421052631579,"5,4"
SBGR,SBSV,2019-03,494,131.95000000000005,143.73823529411766,"5,9"
SBPA,SBGR,2021-12,494,94.30294117647058,108.74117647058824,"7,2"
SBRJ,SBBR,2019-11,493,100.6,111.4825,"5,4"
SBFZ,SBGR,2019-01,492,206.4083333333333,221.42777777777778,"7,5"
SBPA,SBGR,2019-03,491,97.24722222222223,112.09166666666665,"7,4"
SBRJ,SBSP,2020-11,491,56.09444444444444,65.70555555555556,"4,8"
SBCF,SBGR,2019-01,490,73.19444444444444,88.14166666666667,"7,5"
SBCT,SBSP,2019-04,489,53.307500000000005,64.9675,"5,8"
SBCT,SBSP,2019-07,489,51.89473684210526,63.41052631578947,"5,8"
SBGR,SBPA,2021-11,487,99.55833333333334,110.21388888888889,"5,3"
SBSV,SBGR,2019-03,487,143.93529411764703,158.5794117647059,"7,3"
SBGR,SBRF,2020-02,486,173.67105263157896,189.27894736842106,"7,8"
SBGR,SBSV,2019-10,486,127.88333333333334,138.80277777777778,"5,5"
SBCT,SBSP,2019-09,485,53.0921052631579,64.16842105263159,"5,5"
SBSP,SBPA,2019-03,484,90.99499999999999,103.4625,"6,2"
SBGR,SBRF,2019-03,483,177.8111111111111,189.37499999999997,"5,8"
SBGR,SBPA,2021-12,481,98.72941176470589,110.68235294117648,"6,0"
SBSP,SBCT,2019-07,481,51.805263157894736,62.68684210526315,"5,4"
SBSP,SBCT,2019-04,480,51.017500000000005,62.75,"5,9"
SBPA,SBSP,2019-01,478,85.39999999999998,98.74473684210525,"6,7"
SBGR,SBRF,2021-12,477,168.62941176470588,184.06176470588235,"7,7"
SBCT,SBGR,2019-07,476,61.02777777777778,71.28611111111111,"5,1"
SBRF,SBGR,2020-02,476,186.02368421052628,202.8657894736842,"8,4"
SBRJ,SBSP,2020-10,473,55.69444444444445,64.55833333333334,"4,4"
SBCT,SBSP,2019-10,471,54.55277777777778,62.858333333333334,"4,2"
SBGR,SBFZ,2019-12,470,197.3147058823529,212.45882352941175,"7,6"
SBCF,SBGR,2019-09,468,71.60000000000001,82.36944444444444,"5,4"
SBFZ,SBGR,2019-12,468,201.67058823529413,218.89705882352945,"8,6"
SBSP,SBCT,2019-08,468,51.48421052631579,62.276315789473685,"5,4"
SBSP,SBCT,2019-10,468,51.550000000000004,61.03333333333334,"4,7"
SBGR,SBCF,2019-08,467,63.513888888888886,72.84166666666667,"4,7"
SAEZ,SBGR,2019-07,464,153.2,165.06666666666666,"5,9"
SBGR,SBCT,2019-07,462,56.26176470588235,67.52941176470588,"5,6"
SBCF,SBGR,2019-07,461,71.21764705882353,82.24705882352941,"5,5"
SBRF,SBGR,2019-12,460,186.52647058823527,204.01176470588234,"8,7"
SBGR,SAEZ,2019-08,459,171.31666666666666,182.54333333333335,"5,6"
SBSP,SBCT,2019-11,459,50.85,64.03055555555555,"6,6"
SBSP,SBCT,2020-01,459,53.60882352941176,63.455882352941174,"4,9"
SAEZ,SBGR,2019-08,458,155.92999999999998,165.54,"4,8"
SBCT,SBSP,2019-11,458,54.25555555555556,66.55555555555556,"6,2"
SBSP,SBRJ,2020-10,457,49.50294117647059,56.961764705882345,"3,7"
SBCT,SBSP,2019-01,456,51.55833333333333,63.383333333333326,"5,9"
SBCT,SBSP,2020-01,456,54.87647058823528,63.0264705882353,"4,1"
SBGR,SAEZ,2020-01,456,170.98666666666668,181.31,"5,2"
SBGR,SBRF,2021-01,456,177.86764705882354,192.10882352941175,"7,1"
SBSP,SBCT,2019-01,456,50.34444444444444,63.041666666666664,"6,3"
SBGR,SAEZ,2019-07,455,170.87666666666664,186.3466666666667,"7,7"
SBGR,SBRF,2019-02,455,179.02499999999998,195.1638888888889,"8,1"
SBGR,SBCT,2019-09,454,55.97058823529412,66.02352941176471,"5,0"
SBPA,SBSP,2019-03,454,86.5657894736842,99.93947368421053,"6,7"
SAEZ,SBGR,2020-01,453,156.40666666666667,166.38666666666668,"5,0"
SBPA,SBSP,2020-02,453,85.13888888888889,97.61388888888888,"6,2"
SBSP,SBPA,2019-06,453,91.15789473684211,102.81842105263159,"5,8"
SBSP,SBCF,2019-03,452,66.88684210526317,78.26578947368422,"5,7"
SBSV,SBGR,2019-02,452,144.48529411764707,157.50588235294117,"6,5"
SBBR,SBSP,2020-02,451,95.49999999999999,112.25,"8,4"
SBGR,SBRF,2022-03,450,175.91470588235296,189.56764705882352,"6,8"
SBCT,SBSP,2019-03,449,53.26842105263158,66.33157894736841,"6,5"
SBGR,SBCF,2020-01,449,64.771875,77.3875,"6,3"
SBGR,SBCF,2019-07,448,63.61470588235293,73.6705882352941,"5,0"
SBGR,SBCF,2019-10,448,62.367647058823515,70.96470588235293,"4,3"
SBGR,SBCT,2019-10,448,54.75588235294117,62.90588235294117,"4,1"
SBSP,SBBR,2020-02,447,96.33333333333334,110.23055555555555,"6,9"
SAEZ,SBGR,2019-05,446,155.9,166.59,"5,3"
SBCF,SBGR,2020-01,446,71.8875,83.36250000000001,"5,7"
SBFZ,SBGR,2020-01,446,206.46562500000005,220.225,"6,9"
SBBR,SBRJ,2019-11,445,96.30833333333334,108.01666666666667,"5,9"
SBGR,SAEZ,2019-05,445,168.93666666666664,184.23999999999998,"7,7"
SAEZ,SBGR,2019-06,444,154.17000000000002,166.33666666666667,"6,1"
SBGR,SBCT,2019-03,444,57.279411764705884,66.96764705882352,"4,8"
SBSP,SBBR,2019-06,444,94.16388888888888,106.32222222222224,"6,1"
SBGR,SBCF,2019-03,443,64.48823529411764,76.66764705882352,"6,1"
SBCT,SBGR,2019-09,442,61.71176470588236,71.49117647058824,"4,9"
SBCF,SBGR,2019-08,441,71.41176470588235,80.36470588235295,"4,5"
SBGR,SAEZ,2019-06,439,169.67666666666665,184.33666666666667,"7,3"
SBGR,SBCT,2019-12,439,56.896874999999994,67.553125,"5,3"
SBCF,SBSP,2019-02,438,73.69736842105263,87.67631578947368,"7,0"
SBCT,SBGR,2019-10,438,62.30588235294117,71.04411764705883,"4,4"
SBGR,SBSV,2019-02,438,135.4375,146.80937500000002,"5,7"
SBSP,SBCF,2019-06,437,67.11052631578947,77.74473684210527,"5,3"
SBSP,SBPA,2020-02,437,91.13823529411765,104.26764705882351,"6,6"
SBBR,SBRJ,2019-10,436,98.54444444444444,106.05555555555556,"3,8"
SBCF,SBGR,2019-05,436,70.19705882352939,80.24411764705883,"5,0"
SBCF,SBGR,2019-10,436,71.29117647058824,80.86764705882354,"4,8"
SBCF,SBSP,2019-03,436,72.34722222222223,85.11666666666666,"6,4"
SBGR,SBFZ,2019-03,435,194.740625,205.103125,"5,2"
SBRF,SBGR,2019-04,435,189.29117647058823,203.98823529411763,"7,3"
SBRF,SBGR,2021-12,434,191.5366666666667,207.86,"8,2"
SBCF,SBSP,2022-04,433,72.19999999999999,82.70294117647059,"5,3"
SBGR,SBRF,2019-07,432,175.65,188.86562500000002,"6,6"
SBCT,SBGR,2019-12,431,63.515625,76.0625,"6,3"
SBPA,SBSP,2019-06,431,85.21666666666665,96.14444444444445,"5,5"
SBSP,SBPA,2019-02,431,92.52777777777777,106.73055555555557,"7,1"
SBGR,SAEZ,2019-04,430,168.09999999999997,186.45666666666665,"9,2"
SBGR,SBCF,2021-12,430,61.36,72.72666666666667,"5,7"
SBRF,SBGR,2021-08,430,187.275,200.253125,"6,5"
SBSP,SBRJ,2021-06,430,49.331250000000004,57.309375,"4,0"
SBGR,SBPA,2022-05,429,95.221875,106.009375,"5,4"
SBCF,SBSP,2019-06,428,72.60555555555555,82.20833333333331,"4,8"
SBGR,SBRF,2021-08,428,174.58125,187.15625,"6,3"
SBSP,SBCT,2019-03,428,51.27777777777778,62.30555555555556,"5,5"
SBFL,SBGR,2019-03,427,70.3875,82.32187499999999,"6,0"
SBGR,SBFL,2019-03,427,70.6375,81.478125,"5,4"
SAEZ,SBGR,2019-04,426,155.18666666666667,165.66333333333336,"5,2"
SBCF,SBSP,2021-11,426,71.884375,83.1875,"5,7"
SBGR,SAEZ,2020-02,426,169.42999999999998,182.2133333333333,"6,4"
SBGR,SBFZ,2020-01,426,194.1,207.90333333333334,"6,9"
SBGR,SBFZ,2019-10,425,193.04062499999998,204.5625,"5,8"
SBGR,SBPA,2021-01,424,93.16250000000001,102.91250000000001,"4,9"
SAEZ,SBGR,2020-02,423,155.28333333333333,164.5333333333333,"4,6"
SBFZ,SBGR,2019-03,423,204.15937499999998,216.56562499999998,"6,2"
SBFZ,SBGR,2019-11,423,201.87499999999997,214.97812499999998,"6,6"
SAEZ,SBGR,2019-12,422,159.4892857142857,171.71071428571432,"6,1"
SBBR,SBSP,2021-12,422,95.91428571428571,108.28214285714284,"6,2"
SBCT,SBSP,2019-06,422,52.41944444444445,64.13055555555555,"5,9"
SBGR,SBCT,2019-04,422,55.10882352941176,64.78529411764706,"4,8"
SBGR,SBRF,2022-01,422,177.54666666666665,193.24333333333334,"7,8"
SBRF,SBGR,2019-02,422,187.29117647058823,204.9,"8,8"
SBSP,SBBR,2021-12,422,92.75714285714287,107.57857142857142,"7,4"
SBBR,SBSP,2019-06,421,94.74705882352941,105.39117647058823,"5,3"
SBCF,SBSP,2021-12,421,72.71666666666667,83.61333333333333,"5,4"
SBSP,SBBR,2022-01,421,95.12857142857142,109.14999999999999,"7,0"
SBGR,SBCF,2019-05,420,62.803124999999994,73.940625,"5,6"
SBGR,SBRF,2019-04,420,174.25625,187.59687499999995,"6,7"
SBPA,SBGR,2021-07,420,96.26333333333334,108.67333333333335,"6,2"
SBPA,SBGR,2021-10,419,96.15625,108.88125,"6,4"
SBRF,SBGR,2021-07,419,190.46250000000003,203.240625,"6,4"
SBRJ,SBSP,2021-06,419,57.246875,67.13125,"4,9"
SBSP,SBCF,2021-11,419,64.23750000000001,74.42500000000001,"5,1"
SBSP,SBCF,2021-12,419,63.54333333333334,75.55,"6,0"
SBGR,SBCF,2020-02,418,63.96764705882353,77.84705882352942,"6,9"
SBGR,SAEZ,2019-12,417,169.67142857142858,183.6107142857143,"7,0"
SBRF,SBGR,2022-03,417,183.79999999999998,197.86562499999997,"7,0"
SBGR,SAEZ,2019-09,416,174.28928571428565,187.77142857142857,"6,7"
SBGR,SBRF,2021-07,416,172.475,184.45312500000003,"6,0"
SBRF,SBGR,2021-01,416,183.07999999999998,198.94,"7,9"
SAEZ,SBGR,2019-09,415,153.99999999999997,164.43571428571428,"5,2"
SAEZ,SBGR,2019-10,415,158.2428571428571,167.4892857142857,"4,6"
SBGR,SBCF,2019-12,415,64.56666666666666,80.49,"8,0"
SBGR,SBPA,2021-10,415,97.89999999999999,108.975,"5,5"
SBRF,SBGR,2019-03,415,188.20937500000002,206.71874999999997,"9,3"
SBGR,SBRF,2019-10,414,173.35625,185.18125,"5,9"
SBGR,SBPA,2021-08,413,98.02000000000001,110.24999999999999,"6,1"
SBBR,SBRJ,2021-11,412,95.76333333333334,106.03999999999999,"5,1"
SBGR,SAEZ,2019-10,412,172.26785714285714,183.65357142857144,"5,7"
SBGR,SBCF,2019-02,412,66.17352941176469,80.72941176470589,"7,3"
SBGR,SBCT,2019-02,412,57.073529411764696,68.94117647058825,"5,9"
SBRJ,SBBR,2019-10,412,100.81176470588237,109.67647058823529,"4,4"
SBGR,SBPA,2022-01,411,91.73333333333333,102.41666666666667,"5,3"
SBRF,SBGR,2019-07,411,188.29666666666668,200.79666666666668,"6,3"
SBRJ,SBBR,2019-04,411,99.71470588235294,109.48823529411764,"4,9"
SBSP,SBPA,2021-12,411,93.13928571428572,104.38571428571429,"5,6"
SBCT,SBSP,2019-02,410,53.92222222222222,67.275,"6,7"
SBGR,SBFZ,2019-09,410,192.38437499999998,205.925,"6,8"
SBSP,SBCT,2022-05,408,53.8875,65.428125,"5,8"
SBCF,SBGR,2019-12,407,71.67666666666668,84.81666666666666,"6,6"
SBPA,SBGR,2022-05,407,94.3,104.73,"5,2"
SBPA,SBSP,2021-12,407,82.54285714285716,93.95,"5,7"
SBSP,SBCT,2019-02,407,51.53055555555555,65.18333333333332,"6,8"
SBCT,SBSP,2022-05,406,55.05625,65.56562500000001,"5,3"
SBFZ,SBGR,2019-07,406,199.7,213.32333333333332,"6,8"
SBSP,SBSV,2022-05,406,131.08,142.69000000000003,"5,8"
SBSP,SBCT,2019-12,405,52.39,64.26666666666667,"5,9"
SBBR,SBRJ,2019-04,404,98.9735294117647,108.01764705882354,"4,5"
SBBR,SBRJ,2020-02,404,98.78235294117648,111.78823529411764,"6,5"
SBGR,SBPA,2019-06,404,94.36470588235295,105.50882352941177,"5,6"
SBRJ,SBBR,2021-11,404,99.05333333333334,108.80333333333333,"4,9"
SBSP,SBCF,2019-02,404,69.21111111111111,81.02777777777777,"5,9"
SBRF,SBGR,2022-01,403,182.78333333333333,196.92333333333335,"7,1"
SBSP,SBCF,2022-04,403,65,77.25333333333333,"6,1"
