Airport,Date,Phase,N_Valid,SUM_TXT,SUM_REF,AVG_ADD_TIME
SBGL,2019-08,Arr,4250,"35479,1","17102,3","4,57"
SBGL,2019-08,Dep,4199,"68976,9","51864,2","4,76"
SBGL,2019-09,Arr,5706,"36958,4","23223,2","2,60"
SBGL,2019-09,Dep,5641,"92869,5","69707,6","4,45"
SBGL,2019-10,Arr,3542,"31444,6","14695,6","5,04"
SBGL,2019-10,Dep,3490,"59206,6","43550,2","5,24"
SBGL,2019-11,Arr,3508,"25941,7","14557,2","3,45"
SBGL,2019-11,Dep,3478,"56598,3","43498,0","4,22"
SBGL,2019-12,Arr,3966,"28670,9","15951,9","3,42"
SBGL,2019-12,Dep,3896,"63586,9","48330,6","4,42"
SBGL,2020-01,Arr,3486,"29684,5","13925,4","4,77"
SBGL,2020-01,Dep,3417,"54751,4","42249,2","4,55"
SBGL,2020-02,Arr,3108,"20973,7","12796,1","2,83"
SBGL,2020-02,Dep,3055,"48683,3","37984,1","3,90"
SBGL,2020-03,Arr,2066,"12731,6","8420,1","2,30"
SBGL,2020-03,Dep,2034,"30768,6","25165,9","3,23"
SBGL,2020-04,Arr,124,"518,7","431,4","1,23"
SBGL,2020-04,Dep,125,"1766,2","1723,7","1,76"
SBGL,2020-05,Arr,159,"657,4","551,1","1,20"
SBGL,2020-05,Dep,162,"2216,8","2228,5","1,43"
SBGL,2020-06,Arr,280,"1229,5","967,5","1,30"
SBGL,2020-06,Dep,301,"4470,0","4175,0","2,25"
SBGL,2020-07,Arr,472,"2090,1","1646,4","1,24"
SBGL,2020-07,Dep,491,"7572,2","6800,0","2,36"
SBGL,2020-08,Arr,709,"3281,4","2484,5","1,33"
SBGL,2020-08,Dep,716,"12833,8","9928,0","4,55"
SBGL,2020-09,Arr,753,"3633,9","2784,3","1,36"
SBGL,2020-09,Dep,778,"14019,1","10720,2","4,71"
SBGL,2020-10,Arr,1039,"5585,0","3974,0","1,76"
SBGL,2020-10,Dep,1040,"18972,7","14398,8","4,99"
SBGL,2020-11,Arr,876,"4325,3","3026,8","1,63"
SBGL,2020-11,Dep,884,"16362,9","12275,8","5,23"
SBGL,2020-12,Arr,1135,"5754,9","3935,3","1,75"
SBGL,2020-12,Dep,1128,"19558,8","15532,4","4,14"
SBGL,2021-01,Arr,1150,"6050,8","4378,4","1,62"
SBGL,2021-01,Dep,1146,"18676,7","15807,1","3,14"
SBGL,2021-02,Arr,744,"3537,4","2568,3","1,50"
SBGL,2021-02,Dep,740,"11628,1","10273,6","2,69"
SBGL,2021-03,Arr,533,"2436,3","1842,4","1,37"
SBGL,2021-03,Dep,512,"7067,4","7098,2","1,39"
SBGL,2021-04,Arr,400,"2198,0","1475,8","2,05"
SBGL,2021-04,Dep,385,"5917,8","5458,4","2,10"
SBGL,2021-05,Arr,614,"3020,0","2142,4","1,62"
SBGL,2021-05,Dep,596,"9202,1","8246,5","2,48"
SBGL,2021-06,Arr,685,"3423,3","2377,6","1,70"
SBGL,2021-06,Dep,665,"10702,0","9216,7","2,95"
SBGL,2021-07,Arr,1210,"6554,9","4610,5","1,74"
SBGL,2021-07,Dep,1174,"19319,4","16107,2","3,41"
SBGL,2021-08,Arr,1172,"5649,9","4080,9","1,52"
SBGL,2021-08,Dep,1158,"19161,0","16062,0","3,43"
SBGL,2021-09,Arr,1428,"6989,7","4953,8","1,59"
SBGL,2021-09,Dep,1420,"23606,0","19684,7","3,47"
SBGL,2021-10,Arr,1335,"7064,3","5137,9","1,61"
SBGL,2021-10,Dep,1337,"21643,2","18366,2","3,18"
SBGL,2021-11,Arr,1357,"6690,4","4728,4","1,61"
SBGL,2021-11,Dep,1348,"21189,7","18638,2","2,72"
SBGL,2021-12,Arr,1709,"8591,0","6045,9","1,66"
SBGL,2021-12,Dep,1735,"28833,8","23987,4","3,52"
SBGL,2022-01,Arr,1786,"8939,6","6302,7","1,63"
SBGL,2022-01,Dep,1796,"30194,1","24860,1","3,70"
SBGL,2022-02,Arr,1439,"7562,4","5050,2","1,87"
SBGL,2022-02,Dep,1426,"23123,2","19747,4","3,44"
SBGL,2022-03,Arr,1476,"8435,3","5666,0","2,00"
SBGL,2022-03,Dep,1483,"24101,0","20365,8","3,49"
SBGL,2022-04,Arr,1008,"5566,3","3497,1","2,15"
SBGL,2022-04,Dep,1024,"15701,7","14208,9","2,77"
SBGR,2019-01,Arr,11956,"111565,2","64099,9","4,16"
SBGR,2019-01,Dep,12110,"205739,3","138936,6","5,99"
SBGR,2019-02,Arr,10439,"100489,0","55562,3","4,55"
SBGR,2019-02,Dep,10473,"179569,6","122936,2","5,87"
SBGR,2019-03,Arr,11108,"108873,2","61196,5","4,54"
SBGR,2019-03,Dep,11040,"176841,4","123026,4","5,34"
SBGR,2019-04,Arr,10348,"90888,4","56619,9","3,57"
SBGR,2019-04,Dep,10331,"165468,7","116272,6","5,16"
SBGR,2019-05,Arr,9490,"78750,7","51004,1","3,14"
SBGR,2019-05,Dep,9469,"141482,4","107766,7","3,97"
SBGR,2019-06,Arr,9573,"79167,9","52240,1","3,03"
SBGR,2019-06,Dep,9516,"141012,2","106813,8","4,00"
SBGR,2019-07,Arr,11228,"91786,0","61643,3","2,91"
SBGR,2019-07,Dep,11200,"170202,2","123889,3","4,46"
SBGR,2019-08,Arr,11052,"101537,6","62103,3","3,87"
SBGR,2019-08,Dep,11100,"166215,8","119280,7","4,76"
SBGR,2019-09,Arr,10970,"90425,9","61868,2","2,87"
SBGR,2019-09,Dep,10950,"162421,6","118132,0","4,41"
SBGR,2019-10,Arr,11056,"106054,5","63376,4","4,17"
SBGR,2019-10,Dep,11058,"163676,2","116388,3","4,77"
SBGR,2019-11,Arr,10846,"90737,9","60252,4","3,04"
SBGR,2019-11,Dep,10873,"169183,0","119527,1","4,90"
SBGR,2019-12,Arr,12243,"121181,5","65942,7","4,73"
SBGR,2019-12,Dep,12240,"216954,8","140966,6","6,67"
SBGR,2020-01,Arr,11244,"127682,7","58964,0","6,36"
SBGR,2020-01,Dep,11182,"206309,2","131203,0","7,30"
SBGR,2020-02,Arr,9899,"77906,3","52399,0","2,77"
SBGR,2020-02,Dep,9829,"165298,0","113868,1","5,48"
SBGR,2020-03,Arr,7864,"62356,7","44653,5","2,48"
SBGR,2020-03,Dep,7838,"110735,4","84596,5","3,70"
SBGR,2020-04,Arr,1231,"7932,1","6515,6","1,54"
SBGR,2020-04,Dep,1257,"15226,0","14094,4","1,62"
SBGR,2020-05,Arr,1512,"9310,5","7307,7","1,59"
SBGR,2020-05,Dep,1499,"19447,3","17899,9","1,75"
SBGR,2020-06,Arr,1848,"11931,6","9810,9","1,47"
SBGR,2020-06,Dep,1846,"23600,4","20427,5","2,21"
SBGR,2020-07,Arr,2859,"17806,4","14953,4","1,32"
SBGR,2020-07,Dep,2875,"37937,9","30895,2","2,83"
SBGR,2020-08,Arr,3868,"25455,7","21802,3","1,28"
SBGR,2020-08,Dep,3897,"49999,4","40085,1","2,85"
SBGR,2020-09,Arr,4795,"31810,8","26532,0","1,40"
SBGR,2020-09,Dep,4797,"61830,0","50512,7","2,66"
SBGR,2020-10,Arr,5875,"38914,6","32098,2","1,44"
SBGR,2020-10,Dep,5854,"80383,4","62911,6","3,26"
SBGR,2020-11,Arr,6265,"44109,1","35117,4","1,69"
SBGR,2020-11,Dep,6266,"83870,5","65394,6","3,19"
SBGR,2020-12,Arr,7392,"54651,4","39639,1","2,24"
SBGR,2020-12,Dep,7373,"107693,1","82574,7","3,67"
SBGR,2021-01,Arr,7414,"53212,8","39697,3","2,02"
SBGR,2021-01,Dep,7342,"106585,7","82283,3","3,59"
SBGR,2021-02,Arr,5781,"39819,3","31844,9","1,63"
SBGR,2021-02,Dep,5618,"76982,5","60613,9","3,21"
SBGR,2021-03,Arr,4949,"32788,4","26578,5","1,51"
SBGR,2021-03,Dep,4743,"64554,8","52068,0","2,99"
SBGR,2021-04,Arr,3906,"26286,3","21907,5","1,40"
SBGR,2021-04,Dep,3799,"49386,9","39862,2","2,84"
SBGR,2021-05,Arr,5006,"33006,3","26613,5","1,55"
SBGR,2021-05,Dep,4731,"65419,7","52630,4","3,01"
SBGR,2021-06,Arr,5685,"39259,7","31472,0","1,64"
SBGR,2021-06,Dep,5454,"73532,9","57823,4","3,14"
SBGR,2021-07,Arr,7290,"50617,4","40361,3","1,68"
SBGR,2021-07,Dep,7128,"100684,4","75597,5","3,76"
SBGR,2021-08,Arr,6778,"48571,3","39009,6","1,66"
SBGR,2021-08,Dep,6734,"90472,9","67875,9","3,58"
SBGR,2021-09,Arr,7131,"51085,4","40263,0","1,77"
SBGR,2021-09,Dep,7139,"98809,7","74138,6","3,67"
SBGR,2021-10,Arr,7359,"53893,5","41728,4","1,89"
SBGR,2021-10,Dep,7362,"102209,9","76818,1","3,70"
SBGR,2021-11,Arr,7955,"57793,0","43571,8","2,00"
SBGR,2021-11,Dep,7957,"119587,4","86384,3","4,48"
SBGR,2021-12,Arr,8708,"67555,5","49464,6","2,30"
SBGR,2021-12,Dep,8760,"130848,0","92057,2","4,71"
SBGR,2022-01,Arr,8228,"60401,8","43181,6","2,27"
SBGR,2022-01,Dep,8281,"132195,5","96989,3","4,60"
SBGR,2022-02,Arr,7022,"52114,5","38771,5","2,10"
SBGR,2022-02,Dep,6988,"101238,7","77279,7","3,79"
SBGR,2022-03,Arr,7637,"57468,7","41127,4","2,31"
SBGR,2022-03,Dep,7631,"112357,8","86164,2","3,79"
SBGR,2022-04,Arr,7211,"54028,0","40371,2","2,08"
SBGR,2022-04,Dep,7194,"99511,5","77733,2","3,43"
SBRF,2019-01,Arr,3151,"12007,9","5207,2","2,27"
SBRF,2019-01,Dep,3123,"45947,6","33267,4","4,46"
SBRF,2019-02,Arr,2760,"11437,2","4673,8","2,56"
SBRF,2019-02,Dep,2744,"41719,8","29087,1","4,90"
SBRF,2019-03,Arr,2902,"11860,7","5439,5","2,34"
SBRF,2019-03,Dep,2883,"43957,9","29904,5","5,18"
SBRF,2019-04,Arr,2657,"10088,9","4466,1","2,23"
SBRF,2019-04,Dep,2641,"40436,3","27980,0","4,98"
SBRF,2019-05,Arr,2674,"9761,0","4377,4","2,11"
SBRF,2019-05,Dep,2680,"41359,1","28602,4","4,98"
SBRF,2019-06,Arr,2674,"9880,1","4458,8","2,13"
SBRF,2019-06,Dep,2654,"41637,1","28281,5","5,22"
SBRF,2019-07,Arr,3115,"10718,6","5127,5","1,89"
SBRF,2019-07,Dep,3113,"49646,6","33213,7","5,43"
SBRF,2019-08,Arr,2873,"11985,8","4743,5","2,62"
SBRF,2019-08,Dep,2874,"42581,0","30650,4","4,61"
SBRF,2019-09,Arr,2779,"8968,6","4570,5","1,69"
SBRF,2019-09,Dep,2789,"37527,3","29732,2","3,19"
SBRF,2019-10,Arr,2969,"12250,9","4987,3","2,55"
SBRF,2019-10,Dep,2967,"43022,4","31610,0","4,33"
SBRF,2019-11,Arr,2820,"9004,1","5031,5","1,52"
SBRF,2019-11,Dep,2798,"37296,3","29409,3","3,16"
SBRF,2019-12,Arr,3126,"11286,8","5455,1","1,96"
SBRF,2019-12,Dep,3103,"41202,3","32615,2","3,22"
SBRF,2020-01,Arr,3378,"14152,8","5948,1","2,53"
SBRF,2020-01,Dep,3379,"46897,4","35513,2","3,86"
SBRF,2020-02,Arr,2910,"8542,2","4873,8","1,35"
SBRF,2020-02,Dep,2872,"38898,5","30513,6","3,18"
SBRF,2020-03,Arr,2170,"7621,1","4050,4","1,74"
SBRF,2020-03,Dep,2156,"28113,5","22453,1","3,00"
SBRF,2020-04,Arr,250,"961,3","394,1","2,33"
SBRF,2020-04,Dep,250,"2863,7","2618,5","1,75"
SBRF,2020-05,Arr,266,"908,0","432,3","1,85"
SBRF,2020-05,Dep,256,"3018,0","2667,0","2,03"
SBRF,2020-06,Arr,356,"1031,2","609,7","1,29"
SBRF,2020-06,Dep,350,"3964,9","3599,2","1,84"
SBRF,2020-07,Arr,577,"1570,8","1000,9","1,06"
SBRF,2020-07,Dep,565,"6760,4","5917,6","1,91"
