gid,airspace_p,effectived,typ,ident,icaocode,nam,areacode,codedistve,uplimituni,codedistv1,lowerlimit,uomdistver,codewrkhr,upperlimit,lowerlimi1,entryrpt,txtlocalty,txtrmk_loc,relatedfir,classrmklo,emenda,emenda_fut,vertex_ind,vertex_par,vertex_p_1,vertex_p_2,distance,angle,LATITUDE,LONGITUDE
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"20","0","0","20",3.28507136580833,251.80706046521496,-2.1744444400,-41.8555555600
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"21","0","0","21",3.40947967586866,303.20395042345899,-2.1063203900,-41.9596542700
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"22","0","0","22",3.53388428812456,303.20887026401249,-2.0381892800,-42.0637439400
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"23","0","0","23",3.65828532017610,303.21362793620608,-1.9700513400,-42.1678248600
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"24","0","0","24",3.78268287569036,303.21821962817086,-1.9019068100,-42.2718973100
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"25","0","0","25",3.90707709718912,303.22265235507797,-1.8337559200,-42.3759616100
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"26","0","0","26",4.03146809623960,303.22692476109648,-1.7655988800,-42.4800180300
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"27","0","0","27",4.15585598751038,303.23103237175064,-1.6974359400,-42.5840668700
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"28","0","0","28",4.28024089366505,303.23498027843374,-1.6292673200,-42.6881084200
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"29","0","0","29",4.40462293181392,303.23876593333421,-1.5610932500,-42.7921429700
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"30","0","0","30",4.52900224120528,303.23821441348542,-1.4929139500,-42.8961708300
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"31","0","0","31",4.64214944405664,303.23735578073695,-1.4308995400,-42.9908096300
