APT_ICAO,DATE,PHASE,N_VALID,(-1e+09.-60],(-60.-55],(-55.-50],(-50.-45],(-45.-40],(-40.-35],(-35.-30],(-30.-25],(-25.-20],(-20.-15],(-15.-10],(-10.-5],(-5.0],(0.5],(5.10],(10.15],(15.20],(20.25],(25.30],(30.35],(35.40],(40.45],(45.50],(50.55],(55.60],(60.1e+09],EARLY_M15M05,EARLY_M05M00,LATE_P00P05,LATE_P05P15,WITHIN_M05P05,WITHIN_M15P15
SBRJ,2022-01,DEP,3054,0,0,0,0,0,0,0,0,1,3,68,617,965,632,205,152,87,64,54,39,25,24,12,22,14,70,0.224296005,0.315979044,0.206941716,0.116895874,0.52292076,0.864112639
SBRJ,2019-02,DEP,3327,0,0,0,0,0,0,0,0,0,0,40,510,801,682,338,239,144,129,75,62,49,46,41,35,23,113,0.165314097,0.240757439,0.20498948,0.173429516,0.445746919,0.784490532
SBRJ,2020-02,DEP,3993,0,0,0,0,0,0,0,0,0,0,89,708,1081,793,329,222,161,103,90,74,60,43,43,25,22,150,0.199599299,0.270723767,0.198597546,0.137991485,0.469321312,0.806912096
SBRJ,2021-02,DEP,2136,0,0,0,0,0,0,0,0,0,1,87,522,707,425,131,96,50,35,18,18,12,5,7,1,5,16,0.28511236,0.330992509,0.198970037,0.106273408,0.529962547,0.921348315
SBRJ,2022-02,DEP,2712,0,0,0,0,0,0,0,0,1,0,68,784,1015,514,114,75,49,31,10,7,4,5,3,3,3,26,0.314159292,0.374262537,0.189528024,0.069690265,0.56379056,0.947640118
SBRJ,2019-03,DEP,3529,0,0,0,0,0,1,1,0,0,0,55,544,953,748,286,192,180,114,93,59,49,44,32,32,22,124,0.169736469,0.270048172,0.211958062,0.135449136,0.482006234,0.787191839
SBRJ,2020-03,DEP,2877,0,0,0,0,0,0,0,0,1,5,103,856,978,517,151,102,53,21,18,20,5,7,6,5,5,24,0.333333333,0.339937435,0.179701078,0.087938825,0.519638512,0.940910671
SBRJ,2021-03,DEP,1814,0,0,0,0,0,0,0,0,0,2,110,530,572,297,108,67,26,25,15,12,12,4,4,2,1,27,0.352811466,0.315325248,0.163726571,0.096471885,0.479051819,0.928335171
SBRJ,2022-03,DEP,3342,0,0,0,0,0,0,0,0,0,0,86,820,1088,740,221,133,67,53,25,22,12,10,6,5,8,46,0.271095153,0.325553561,0.221424297,0.105924596,0.546977858,0.923997606
SBRJ,2019-04,DEP,3568,0,0,0,0,0,0,2,0,0,0,54,533,948,805,384,222,137,106,77,47,25,34,26,25,17,126,0.164517937,0.265695067,0.225616592,0.169843049,0.491311659,0.825672646
SBRJ,2020-04,DEP,188,0,0,0,0,0,0,0,0,0,1,17,56,55,32,12,7,0,4,1,2,0,0,0,0,1,0,0.388297872,0.292553191,0.170212766,0.10106383,0.462765957,0.95212766
